Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:06:02, 4068.9, 4068.9, 4068.9, 4068.9
2020-07-08, 2020-07-08T16:06:03, 4068.3, 4068.6, 4068.3, 4068.6
2020-07-08, 2020-07-08T16:06:04, 4068.3, 4068.3, 4068.3, 4068.3
2020-07-08, 2020-07-08T16:06:05, None, None, None, None
2020-07-08, 2020-07-08T16:06:06, 4068.6, 4068.9, 4068.6, 4068.9
2020-07-08, 2020-07-08T16:06:07, 4069.3, 4069.6, 4069.3, 4069.6
2020-07-08, 2020-07-08T16:06:08, 4069.9, 4070.3, 4069.9, 4070.3
2020-07-08, 2020-07-08T16:06:09, None, None, None, None
2020-07-08, 2020-07-08T16:06:10, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:06:11, 4071.3, 4071.3, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:06:12, 4070.6, 4070.6, 4070.6, 4070.6
2020-07-08, 2020-07-08T16:06:13, None, None, None, None
2020-07-08, 2020-07-08T16:06:15, 4070.9, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:06:16, None, None, None, None
2020-07-08, 2020-07-08T16:06:17, 4071.4, 4071.4, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:06:18, 4070.6, 4071.3, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:06:19, None, None, None, None
2020-07-08, 2020-07-08T16:06:20, None, None, None, None
2020-07-08, 2020-07-08T16:06:21, None, None, None, None
2020-07-08, 2020-07-08T16:06:23, None, None, None, None
2020-07-08, 2020-07-08T16:06:24, None, None, None, None
2020-07-08, 2020-07-08T16:06:25, 4071.3, 4071.3, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:06:26, 4071.6, 4071.6, 4071.3, 4071.6
2020-07-08, 2020-07-08T16:06:27, 4071.9, 4071.9, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:06:28, 4072.3, 4073.9, 4072.3, 4073.9
